spot_id,payment_id,payment_app,name,address,street_side,neighborhood,municipality,type,ownership,lat,lon,pricing_summary,space_count,capacity,permit_zone,snow_emergency_tow,accessible,accessible_spaces,accessible_type,ev_charging,ev_charger_count,ev_network,source,source_date,last_updated,data_completeness
cambridge_meter_UNIV-0010,6790,PayByPhone,UNIV-0010,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37296072565049,-71.12316956714486,Mon-Sat 08:00-20:00 $2.00/hr (3 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PROS-0294,2505,PayByPhone,PROS-0294,,unknown,Inman Square,Cambridge,on_street_meter,public,42.37249068099355,-71.09871889193737,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PROS-0292,2505,PayByPhone,PROS-0292,,unknown,Inman Square,Cambridge,on_street_meter,public,42.372427192526004,-71.09877136347933,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PROS-0290,2505,PayByPhone,PROS-0290,,unknown,Inman Square,Cambridge,on_street_meter,public,42.37236407943571,-71.09881753436969,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0007,6900,PayByPhone,PLY-0007,,unknown,Cambridge,Cambridge,on_street_meter,public,42.372284061229436,-71.11663446306795,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0009,6900,PayByPhone,PLY-0009,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37223338262352,-71.11665746299894,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0011,6900,PayByPhone,PLY-0011,,unknown,Cambridge,Cambridge,on_street_meter,public,42.372183397640796,-71.11667965841396,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0013,6900,PayByPhone,PLY-0013,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37213266950552,-71.11670205442977,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0015,6900,PayByPhone,PLY-0015,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37207431207884,-71.11672834005651,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0017,6900,PayByPhone,PLY-0017,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37202189922234,-71.11675247998282,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0019,6900,PayByPhone,PLY-0019,,unknown,Cambridge,Cambridge,on_street_meter,public,42.371969288812615,-71.11677776018576,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0021,6900,PayByPhone,PLY-0021,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37191548906169,-71.11680022369555,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0023,6900,PayByPhone,PLY-0023,,unknown,Cambridge,Cambridge,on_street_meter,public,42.371862382495294,-71.11682597264601,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0025,6900,PayByPhone,PLY-0025,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37180997002358,-71.11684930797276,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0055,6940,PayByPhone,PLY-0055,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.370122738264925,-71.1178757656356,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0057,6940,PayByPhone,PLY-0057,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37008288257234,-71.11789970449883,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0059,6940,PayByPhone,PLY-0059,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37003373793583,-71.1179296113522,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0061,6940,PayByPhone,PLY-0061,,unknown,Cambridge,Cambridge,on_street_meter,public,42.36987788202131,-71.11802107457888,Mon-Sat 08:00-18:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0063,6940,PayByPhone,PLY-0063,,unknown,Cambridge,Cambridge,on_street_meter,public,42.36983676296841,-71.11804655546693,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0065,6940,PayByPhone,PLY-0065,,unknown,Cambridge,Cambridge,on_street_meter,public,42.36978630562566,-71.1180765750192,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0076,6940,PayByPhone,PLY-0076,,unknown,Cambridge,Cambridge,on_street_meter,public,42.36979324043482,-71.11799678316854,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0078,6940,PayByPhone,PLY-0078,,unknown,Cambridge,Cambridge,on_street_meter,public,42.3697429066912,-71.11802709202608,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0005,6900,PayByPhone,PLY-0005,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37239913363665,-71.11658140941468,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_PLY-0003,6900,PayByPhone,PLY-0003,,unknown,Cambridge,Cambridge,on_street_meter,public,42.37245153790892,-71.11655660983106,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_WEST-0203,6982,PayByPhone,WEST-0203,,unknown,Central Square,Cambridge,on_street_meter,public,42.36482809688257,-71.11030098165355,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_WEST-0205,6982,PayByPhone,WEST-0205,,unknown,Central Square,Cambridge,on_street_meter,public,42.364822944014016,-71.11035985566274,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,True,1,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_LIND-0006,6900,PayByPhone,LIND-0006,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37246320983125,-71.11730379104804,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_LIND-0008,6900,PayByPhone,LIND-0008,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37241366977675,-71.11732613946278,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_LIND-0010,6900,PayByPhone,LIND-0010,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37236501551037,-71.11734811842516,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_LIND-0012,6900,PayByPhone,LIND-0012,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37231247058873,-71.11737446822681,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_LIND-0014,6900,PayByPhone,LIND-0014,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37225841031495,-71.11739808878026,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_LIND-0016,6900,PayByPhone,LIND-0016,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.371978433672794,-71.11752677777517,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_LIND-0018,6900,PayByPhone,LIND-0018,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.371918013345585,-71.11755187775826,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_LIND-0020,6900,PayByPhone,LIND-0020,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.371883781139516,-71.11757088922634,Mon-Sat 08:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HAMP-0244,2507,PayByPhone,HAMP-0244,,unknown,Central Square,Cambridge,on_street_meter,public,42.37426687022597,-71.1015365149109,Mon-Sat 08:00-18:00 $1.25/hr (2 Hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HAMP-0246,2507,PayByPhone,HAMP-0246,,unknown,Central Square,Cambridge,on_street_meter,public,42.37431026743289,-71.10158969564263,Mon-Sat 08:00-18:00 $1.25/hr (2 Hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
